sday	eday	month	year	q1	q2	q3	q4
27	28	9	2018	8	8	8	8
28	29	9	2018	1	3	3	6
29	30	9	2018	7	8	7	8
30	1	9	2018	8	0	3	0
1	2	10	2018	0	0	0	0
2	3	10	2018	0	0	0	2
3	4	10	2018	5	5	5	7
4	5	10	2018	4	1	1	1
5	6	10	2018	0	0	1	1
6	7	10	2018	0	0	0	0
7	8	10	2018	8	8	8	8
8	9	10	2018	8	8	8	8
9	10	10	2018	7	6	6	6
10	11	10	2018	8	8	8	8
11	12	10	2018	8	6	2	0
12	13	10	2018	0	0	0	0
13	14	10	2018	7	7	0	2
14	15	10	2018	0	0	0	0
15	16	10	2018	0	0	0	0
16	17	10	2018	0	0	0	0
17	18	10	2018	0	0	0	0
18	19	10	2018	0	0	0	0
19	20	10	2018	0	0	0	0
20	21	10	2018	0	0	0	0
21	22	10	2018	0	0	0	0
22	23	10	2018	0	0	0	0
23	24	10	2018	1	1	1	1
24	25	10	2018	2	4	8	5
25	26	10	2018	0	0	0	0
26	27	10	2018	5	6	8	8
27	28	10	2018	0	0	1	2
28	29	10	2018	8	7	7	7
29	30	10	2018	8	8	8	8
30	31	10	2018	8	4	6	7
31	1	10	2018	0	0	0	0
1	2	11	2018	1	1	2	4
2	3	11	2018	0	0	0	0
3	4	11	2018	0	0	0	0
4	5	11	2018	0	0	0	0
5	6	11	2018	0	0	0	0
6	7	11	2018	0	0	0	0
7	8	11	2018	0	0	0	0
8	9	11	2018	0	0	0	0
9	10	11	2018	2	0	1	1
10	11	11	2018	1	3	7	7
11	12	11	2018	1	2	7	8
12	13	11	2018	0	0	0	0
13	14	11	2018	2	0	0	0
14	15	11	2018	1	0	0	0
15	16	11	2018	0	0	0	0
16	17	11	2018	0	0	0	0
17	18	11	2018	0	0	0	0
18	19	11	2018	0	0	0	0
19	20	11	2018	0	0	0	0
20	21	11	2018	0	0	0	0
21	22	11	2018	0	0	0	0
22	23	11	2018	0	0	0	0
23	24	11	2018	0	0	0	0
24	25	11	2018	9	9	9	9
25	26	11	2018	0	0	0	0
26	27	11	2018	0	0	0	0
27	28	11	2018	0	0	0	0
28	29	11	2018	9	9	9	9
29	30	11	2018	0	0	0	0
30	1	11	2018	0	0	0	0
1	2	12	2018	9	9	9	9
2	3	12	2018	9	9	9	9
3	4	12	2018	9	9	9	9
4	5	12	2018	9	9	9	9
5	6	12	2018	9	9	9	9
6	7	12	2018	9	9	9	9
7	8	12	2018	9	9	9	9
8	9	12	2018	9	9	9	9
9	10	12	2018	9	9	9	9
10	11	12	2018	9	9	9	9
11	12	12	2018	9	9	9	9
12	13	12	2018	9	9	9	9
13	14	12	2018	9	9	9	9
14	15	12	2018	9	9	9	9
15	16	12	2018	9	9	9	9
16	17	12	2018	0	0	0	0
17	18	12	2018	8	8	8	8
18	19	12	2018	1	0	0	0
19	20	12	2018	0	0	0	0
20	21	12	2018	0	0	0	0
21	22	12	2018	0	0	0	0
22	23	12	2018	0	0	0	0
23	24	12	2018	0	0	0	0
24	25	12	2018	9	9	9	9
25	26	12	2018	9	9	9	9
26	27	12	2018	0	0	0	0
27	28	12	2018	0	0	0	0
28	29	12	2018	1	1	1	0
29	30	12	2018	0	0	0	0
30	31	12	2018	0	0	0	0
31	1	12	2018	0	0	0	0
1	2	1	2019	5	2	6	6
2	3	1	2019	3	2	1	0
3	4	1	2019	0	0	0	0
4	5	1	2019	0	0	0	0
5	6	1	2019	1	0	0	0
6	7	1	2019	0	0	0	0
7	8	1	2019	0	0	0	0
8	9	1	2019	0	0	0	0
9	10	1	2019	0	1	1	1
10	11	1	2019	0	0	0	0
11	12	1	2019	0	0	0	0
12	13	1	2019	0	0	0	0
13	14	1	2019	0	1	4	7
14	15	1	2019	0	0	0	0
15	16	1	2019	0	0	0	0
16	17	1	2019	0	0	0	0
17	18	1	2019	0	0	0	0
18	19	1	2019	0	0	0	0
19	20	1	2019	0	0	0	0
20	21	1	2019	4	7	2	1
21	22	1	2019	9	9	9	9
22	23	1	2019	0	0	0	0
23	24	1	2019	0	0	0	3
24	25	1	2019	3	2	2	2
25	26	1	2019	2	1	1	1
26	27	1	2019	1	0	0	0
27	28	1	2019	0	0	0	0
28	29	1	2019	0	0	0	0
29	30	1	2019	0	0	0	0
30	31	1	2019	0	0	0	0
31	1	1	2019	0	0	0	0
1	2	2	2019	0	0	0	0
2	3	2	2019	0	0	0	0
3	4	2	2019	0	0	0	0
4	5	2	2019	9	9	9	9
5	6	2	2019	0	0	0	0
6	7	2	2019	1	6	0	0
7	8	2	2019	0	3	1	1
8	9	2	2019	0	1	2	1
9	10	2	2019	0	0	1	1
10	11	2	2019	0	0	0	0
11	12	2	2019	2	1	0	0
12	13	2	2019	1	0	0	0
13	14	2	2019	0	0	0	0
14	15	2	2019	0	0	0	0
15	16	2	2019	0	0	0	0
16	17	2	2019	0	0	0	0
17	18	2	2019	0	0	0	0
18	19	2	2019	0	0	0	0
19	20	2	2019	0	0	0	0
20	21	2	2019	0	0	0	0
21	22	2	2019	0	0	0	0
22	23	2	2019	0	0	0	0
23	24	2	2019	0	0	0	0
24	25	2	2019	0	0	0	0
25	26	2	2019	0	0	0	0
26	27	2	2019	0	0	0	0
27	28	2	2019	0	0	0	0
28	1	2	2019	0	0	0	0
1	2	3	2019	0	0	0	0
2	3	3	2019	0	4	6	5
3	4	3	2019	0	0	0	0
4	5	3	2019	1	0	0	0
5	6	3	2019	0	0	0	0
6	7	3	2019	0	0	0	0
7	8	3	2019	0	0	0	0
8	9	3	2019	0	0	0	0
9	10	3	2019	0	0	0	0
10	11	3	2019	0	0	0	0
11	12	3	2019	0	0	0	0
12	13	3	2019	0	0	0	0
13	14	3	2019	0	0	0	0
14	15	3	2019	0	0	0	0
15	16	3	2019	0	0	0	0
16	17	3	2019	0	0	0	0
17	18	3	2019	0	0	0	0
18	19	3	2019	0	0	0	0
19	20	3	2019	0	0	0	0
20	21	3	2019	2	2	2	2
21	22	3	2019	0	0	0	0
22	23	3	2019	0	0	0	0
23	24	3	2019	0	0	0	0
24	25	3	2019	0	0	1	0
25	26	3	2019	0	0	0	0
26	27	3	2019	1	2	4	5
27	28	3	2019	0	0	0	0
28	29	3	2019	7	4	1	0
29	30	3	2019	9	9	9	9
30	31	3	2019	9	9	9	9
31	1	3	2019	9	9	9	9
1	2	4	2019	0	0	0	0
2	3	4	2019	0	0	0	0
3	4	4	2019	5	0	0	0
4	5	4	2019	0	0	0	0
5	6	4	2019	0	0	0	0
6	7	4	2019	0	0	0	0
7	8	4	2019	0	0	0	0
8	9	4	2019	0	0	0	0
9	10	4	2019	0	0	0	0
10	11	4	2019	0	0	0	0
11	12	4	2019	0	0	0	0
12	13	4	2019	0	0	0	0
13	14	4	2019	1	1	1	1
14	15	4	2019	9	9	9	9
15	16	4	2019	0	0	0	0
16	17	4	2019	9	9	9	9
17	18	4	2019	0	0	0	0
18	19	4	2019	8	8	8	8
19	20	4	2019	8	2	6	6
20	21	4	2019	2	0	0	0
21	22	4	2019	2	2	2	0
22	23	4	2019	1	0	0	8
23	24	4	2019	5	8	8	8
24	25	4	2019	8	8	8	8
25	26	4	2019	2	2	0	0
26	27	4	2019	0	0	0	0
27	28	4	2019	0	0	0	0
28	29	4	2019	0	0	0	0
29	30	4	2019	4	8	8	1
30	1	4	2019	0	0	0	0
1	2	5	2019	1	1	1	1
2	3	5	2019	1	0	0	1
3	4	5	2019	1	1	1	1
4	5	5	2019	1	1	1	1
5	6	5	2019	4	4	4	8
6	7	5	2019	8	8	8	8
7	8	5	2019	4	4	5	4
8	9	5	2019	0	0	0	0
9	10	5	2019	4	1	4	7
10	11	5	2019	1	0	0	0
11	12	5	2019	0	0	0	0
12	13	5	2019	0	0	0	0
13	14	5	2019	0	0	0	0
14	15	5	2019	0	0	0	0
15	16	5	2019	0	2	6	6
16	17	5	2019	5	2	2	5
17	18	5	2019	4	4	2	0
18	19	5	2019	2	8	6	8
19	20	5	2019	8	8	8	8
20	21	5	2019	0	0	0	0
21	22	5	2019	0	0	0	0
22	23	5	2019	0	0	0	0
23	24	5	2019	0	0	6	7
24	25	5	2019	8	8	8	8
25	26	5	2019	8	8	8	8
26	27	5	2019	8	8	8	8
27	28	5	2019	8	0	0	8
28	29	5	2019	8	8	8	8
29	30	5	2019	9	9	9	9
30	31	5	2019	3	3	3	3
31	1	5	2019	6	0	0	0
1	2	6	2019	0	0	0	0
2	3	6	2019	0	0	0	0
3	4	6	2019	2	4	6	3
4	5	6	2019	6	3	3	4
5	6	6	2019	0	0	0	0
6	7	6	2019	5	2	0	0
7	8	6	2019	1	1	0	0
8	9	6	2019	1	0	0	0
9	10	6	2019	0	1	0	6
10	11	6	2019	0	0	0	0
11	12	6	2019	1	1	1	0
12	13	6	2019	0	0	0	0
13	14	6	2019	0	0	0	0
14	15	6	2019	0	8	8	8
15	16	6	2019	0	0	0	0
16	17	6	2019	0	0	0	0
17	18	6	2019	0	0	0	0
18	19	6	2019	0	0	0	0
19	20	6	2019	3	4	4	8
20	21	6	2019	9	9	9	9
21	22	6	2019	9	9	9	9
22	23	6	2019	2	1	1	1
23	24	6	2019	1	8	8	8
24	25	6	2019	9	9	9	9
25	26	6	2019	0	0	1	0
26	27	6	2019	7	8	6	8
27	28	6	2019	2	3	2	2
28	29	6	2019	8	8	8	8
29	30	6	2019	0	0	0	0
30	1	6	2019	0	0	0	0
1	2	7	2019	0	0	0	0
2	3	7	2019	0	0	0	0
3	4	7	2019	0	0	0	0
4	5	7	2019	0	0	0	0
5	6	7	2019	0	0	0	0
6	7	7	2019	8	3	6	8
7	8	7	2019	8	8	4	6
8	9	7	2019	8	7	8	8
9	10	7	2019	4	0	0	1
10	11	7	2019	9	9	9	9
11	12	7	2019	1	1	1	5
12	13	7	2019	8	8	6	8
13	14	7	2019	0	0	0	0
14	15	7	2019	0	0	0	0
15	16	7	2019	0	0	0	0
16	17	7	2019	0	0	0	1
17	18	7	2019	8	2	1	1
18	19	7	2019	9	9	9	9
19	20	7	2019	1	0	0	0
20	21	7	2019	6	7	8	8
21	22	7	2019	8	8	8	8
22	23	7	2019	4	1	1	6
23	24	7	2019	0	0	0	0
24	25	7	2019	0	0	0	0
25	26	7	2019	0	0	0	7
26	27	7	2019	7	0	0	0
27	28	7	2019	2	2	2	4
28	29	7	2019	5	3	1	0
29	30	7	2019	0	0	0	0
30	31	7	2019	0	0	0	0
31	1	7	2019	6	6	8	1
1	2	8	2019	0	0	0	0
2	3	8	2019	0	0	1	1
3	4	8	2019	1	0	0	0
4	5	8	2019	0	0	0	0
5	6	8	2019	0	0	0	0
6	7	8	2019	0	0	0	0
7	8	8	2019	0	0	0	0
8	9	8	2019	0	0	0	0
9	10	8	2019	0	0	0	0
10	11	8	2019	4	6	8	6
11	12	8	2019	0	0	0	0
12	13	8	2019	0	0	0	2
13	14	8	2019	1	2	4	4
14	15	8	2019	9	9	9	9
15	16	8	2019	1	2	2	1
16	17	8	2019	0	0	0	0
17	18	8	2019	2	8	1	0
18	19	8	2019	6	6	8	6
19	20	8	2019	2	1	1	0
20	21	8	2019	0	0	0	0
21	22	8	2019	1	1	2	0
22	23	8	2019	0	0	0	0
23	24	8	2019	2	2	3	2
24	25	8	2019	6	7	8	6
25	26	8	2019	1	0	0	3
26	27	8	2019	1	0	1	1
27	28	8	2019	0	1	2	1
28	29	8	2019	1	0	0	0
29	30	8	2019	1	0	0	0
30	31	8	2019	0	0	0	0
31	1	8	2019	0	0	0	0
1	2	9	2019	1	0	1	2
2	3	9	2019	0	1	2	4
3	4	9	2019	0	0	0	0
4	5	9	2019	2	2	3	4
5	6	9	2019	8	8	8	8
6	7	9	2019	7	7	7	5
7	8	9	2019	0	0	0	0
8	9	9	2019	8	8	8	8
9	10	9	2019	6	4	2	2
10	11	9	2019	6	8	8	8
11	12	9	2019	0	0	0	0
12	13	9	2019	3	4	3	1
13	14	9	2019	1	1	1	1
14	15	9	2019	0	0	0	0
15	16	9	2019	0	0	0	0
16	17	9	2019	0	1	5	3
17	18	9	2019	0	0	0	0
18	19	9	2019	0	0	0	0
19	20	9	2019	0	0	0	0
20	21	9	2019	0	0	0	0
21	22	9	2019	0	0	0	0
22	23	9	2019	6	8	6	2
23	24	9	2019	0	0	0	0
24	25	9	2019	0	0	0	0
25	26	9	2019	0	0	0	0
26	27	9	2019	0	0	0	0
27	28	9	2019	0	0	0	0
28	29	9	2019	0	0	0	0
29	30	9	2019	0	0	0	0
30	1	9	2019	1	1	3	3
1	2	10	2019	5	2	1	2
2	3	10	2019	8	8	8	8
3	4	10	2019	8	8	8	0
4	5	10	2019	0	0	0	0
5	6	10	2019	0	0	0	0
6	7	10	2019	2	0	0	1
7	8	10	2019	1	0	0	0
8	9	10	2019	4	6	2	1
9	10	10	2019	2	2	2	2
10	11	10	2019	4	5	3	1
11	12	10	2019	1	2	5	6
12	13	10	2019	5	5	7	8
13	14	10	2019	8	2	6	8
14	15	10	2019	6	3	2	3
15	16	10	2019	5	6	5	7
16	17	10	2019	0	0	0	0
17	18	10	2019	0	0	0	0
18	19	10	2019	0	0	0	0
19	20	10	2019	4	2	0	0
20	21	10	2019	0	0	0	0
21	22	10	2019	4	4	4	4
22	23	10	2019	8	8	8	8
23	24	10	2019	6	6	6	6
24	25	10	2019	0	0	0	0
25	26	10	2019	0	0	0	0
26	27	10	2019	0	0	4	1
27	28	10	2019	6	3	5	6
28	29	10	2019	5	1	1	2
29	30	10	2019	1	2	3	6
30	31	10	2019	2	4	7	7
31	1	10	2019	8	8	8	8
1	2	11	2019	6	6	6	6
2	3	11	2019	8	8	8	8
3	4	11	2019	1	0	0	0
4	5	11	2019	0	0	1	1
5	6	11	2019	0	0	0	0
6	7	11	2019	0	0	0	0
7	8	11	2019	0	0	0	0
8	9	11	2019	3	1	1	1
9	10	11	2019	0	0	0	0
10	11	11	2019	0	1	1	1
11	12	11	2019	0	0	0	0
12	13	11	2019	0	0	0	0
13	14	11	2019	0	0	0	0
14	15	11	2019	0	0	0	0
15	16	11	2019	0	0	0	0
16	17	11	2019	0	0	0	0
17	18	11	2019	0	0	0	0
18	19	11	2019	0	0	0	0
19	20	11	2019	0	0	0	0
20	21	11	2019	0	0	0	0
21	22	11	2019	5	5	3	2
22	23	11	2019	0	0	1	1
23	24	11	2019	0	0	0	0
24	25	11	2019	0	0	0	1
25	26	11	2019	0	0	0	0
26	27	11	2019	0	0	0	0
27	28	11	2019	0	0	0	0
28	29	11	2019	0	0	0	0
29	30	11	2019	0	0	0	0
30	1	11	2019	1	0	0	0
1	2	12	2019	0	0	0	0
2	3	12	2019	3	1	0	0
3	4	12	2019	6	6	6	6
4	5	12	2019	0	0	0	0
5	6	12	2019	0	0	0	0
6	7	12	2019	0	0	0	0
7	8	12	2019	0	0	0	0
8	9	12	2019	0	0	0	0
9	10	12	2019	0	1	1	0
10	11	12	2019	1	0	0	0
11	12	12	2019	0	0	0	0
12	13	12	2019	0	0	0	0
13	14	12	2019	0	0	0	0
14	15	12	2019	0	0	0	0
15	16	12	2019	2	2	3	3
16	17	12	2019	0	0	0	0
17	18	12	2019	0	0	0	0
18	19	12	2019	0	0	0	0
19	20	12	2019	5	4	3	1
20	21	12	2019	0	0	1	0
21	22	12	2019	0	0	0	0
22	23	12	2019	0	0	0	0
23	24	12	2019	0	0	0	0
24	25	12	2019	0	0	0	0
25	26	12	2019	0	0	0	0
26	27	12	2019	0	0	1	0
27	28	12	2019	6	6	6	4
28	29	12	2019	2	2	2	2
29	30	12	2019	0	0	0	0
30	31	12	2019	0	0	0	0
31	1	12	2019	9	9	9	9
1	2	1	2020	9	9	9	9
2	3	1	2020	0	0	0	0
3	4	1	2020	0	0	1	1
4	5	1	2020	0	0	0	0
5	6	1	2020	0	0	1	1
6	7	1	2020	1	1	1	0
7	8	1	2020	1	1	1	1
8	9	1	2020	1	1	1	1
9	10	1	2020	0	0	0	0
10	11	1	2020	0	0	0	0
11	12	1	2020	0	0	0	0
12	13	1	2020	0	0	0	0
13	14	1	2020	0	0	0	0
14	15	1	2020	0	0	2	3
15	16	1	2020	0	0	0	0
16	17	1	2020	1	3	6	5
17	18	1	2020	4	4	3	5
18	19	1	2020	2	3	2	2
19	20	1	2020	0	0	0	0
20	21	1	2020	0	0	0	0
21	22	1	2020	0	0	0	0
22	23	1	2020	0	0	0	0
23	24	1	2020	1	1	1	2
24	25	1	2020	2	0	2	7
25	26	1	2020	1	2	6	5
26	27	1	2020	1	2	2	2
27	28	1	2020	2	3	6	4
28	29	1	2020	2	3	6	7
29	30	1	2020	1	1	1	1
30	31	1	2020	1	0	0	0
31	1	1	2020	1	0	0	0
1	2	2	2020	0	0	0	0
2	3	2	2020	0	0	0	0
3	4	2	2020	0	0	0	0
4	5	2	2020	0	0	0	0
5	6	2	2020	0	0	0	0
6	7	2	2020	0	0	0	0
7	8	2	2020	0	0	0	0
8	9	2	2020	0	0	0	0
9	10	2	2020	0	0	0	0
10	11	2	2020	0	0	0	0
11	12	2	2020	2	2	2	2
12	13	2	2020	8	7	4	4
13	14	2	2020	1	1	2	0
14	15	2	2020	0	1	1	0
15	16	2	2020	5	6	5	4
16	17	2	2020	4	6	5	5
17	18	2	2020	0	0	0	0
18	19	2	2020	0	0	0	0
19	20	2	2020	0	0	0	0
20	21	2	2020	0	0	0	0
21	22	2	2020	0	0	0	0
22	23	2	2020	0	0	0	0
23	24	2	2020	0	0	0	0
24	25	2	2020	0	0	0	0
25	26	2	2020	0	0	0	0
26	27	2	2020	0	0	0	0
27	28	2	2020	0	0	0	0
28	29	2	2020	0	0	0	0
29	1	2	2020	0	0	0	0
1	2	3	2020	0	0	0	0
2	3	3	2020	0	0	0	0
3	4	3	2020	0	0	0	0
4	5	3	2020	0	0	0	0
5	6	3	2020	4	6	4	1
6	7	3	2020	0	0	0	0
7	8	3	2020	0	0	0	0
8	9	3	2020	1	3	3	1
9	10	3	2020	1	1	1	1
10	11	3	2020	0	0	0	0
11	12	3	2020	0	0	0	0
12	13	3	2020	0	0	0	0
13	14	3	2020	1	4	3	4
14	15	3	2020	1	0	0	0
15	16	3	2020	0	0	0	0
16	17	3	2020	0	0	0	0
17	18	3	2020	0	0	0	0
18	19	3	2020	9	9	9	9
19	20	3	2020	9	9	9	9
20	21	3	2020	9	9	9	9
21	22	3	2020	9	9	9	9
22	23	3	2020	9	9	9	9
23	24	3	2020	9	9	9	9
24	25	3	2020	9	9	9	9
25	26	3	2020	9	9	9	9
26	27	3	2020	9	9	9	9
27	28	3	2020	9	9	9	9
28	29	3	2020	9	9	9	9
29	30	3	2020	9	9	9	9
30	31	3	2020	9	9	9	9
31	1	3	2020	9	9	9	9
1	2	4	2020	9	9	9	9
2	3	4	2020	9	9	9	9
3	4	4	2020	9	9	9	9
4	5	4	2020	9	9	9	9
5	6	4	2020	9	9	9	9
6	7	4	2020	9	9	9	9
7	8	4	2020	9	9	9	9
8	9	4	2020	9	9	9	9
9	10	4	2020	9	9	9	9
10	11	4	2020	9	9	9	9
11	12	4	2020	9	9	9	9
12	13	4	2020	9	9	9	9
13	14	4	2020	9	9	9	9
14	15	4	2020	9	9	9	9
15	16	4	2020	9	9	9	9
16	17	4	2020	9	9	9	9
17	18	4	2020	9	9	9	9
18	19	4	2020	9	9	9	9
19	20	4	2020	9	9	9	9
20	21	4	2020	9	9	9	9
21	22	4	2020	9	9	9	9
22	23	4	2020	9	9	9	9
23	24	4	2020	9	9	9	9
24	25	4	2020	9	9	9	9
25	26	4	2020	9	9	9	9
26	27	4	2020	9	9	9	9
27	28	4	2020	9	9	9	9
28	29	4	2020	9	9	9	9
29	30	4	2020	9	9	9	9
30	1	4	2020	9	9	9	9
1	2	5	2020	9	9	9	9
2	3	5	2020	9	9	9	9
3	4	5	2020	9	9	9	9
4	5	5	2020	9	9	9	9
5	6	5	2020	9	9	9	9
6	7	5	2020	9	9	9	9
7	8	5	2020	9	9	9	9
8	9	5	2020	9	9	9	9
9	10	5	2020	9	9	9	9
10	11	5	2020	9	9	9	9
11	12	5	2020	9	9	9	9
12	13	5	2020	9	9	9	9
13	14	5	2020	9	9	9	9
14	15	5	2020	9	9	9	9
15	16	5	2020	9	9	9	9
16	17	5	2020	9	9	9	9
17	18	5	2020	9	9	9	9
18	19	5	2020	9	9	9	9
19	20	5	2020	9	9	9	9
20	21	5	2020	9	9	9	9
21	22	5	2020	9	9	9	9
22	23	5	2020	9	9	9	9
23	24	5	2020	9	9	9	9
24	25	5	2020	9	9	9	9
25	26	5	2020	9	9	9	9
26	27	5	2020	9	9	9	9
27	28	5	2020	9	9	9	9
28	29	5	2020	9	9	9	9
29	30	5	2020	9	9	9	9
30	31	5	2020	9	9	9	9
31	1	5	2020	9	9	9	9
1	2	6	2020	9	9	9	9
2	3	6	2020	9	9	9	9
3	4	6	2020	9	9	9	9
4	5	6	2020	9	9	9	9
5	6	6	2020	9	9	9	9
6	7	6	2020	9	9	9	9
7	8	6	2020	9	9	9	9
8	9	6	2020	9	9	9	9
9	10	6	2020	9	9	9	9
10	11	6	2020	9	9	9	9
11	12	6	2020	9	9	9	9
12	13	6	2020	9	9	9	9
13	14	6	2020	9	9	9	9
14	15	6	2020	9	9	9	9
15	16	6	2020	9	9	9	9
16	17	6	2020	9	9	9	9
17	18	6	2020	9	9	9	9
18	19	6	2020	9	9	9	9
19	20	6	2020	9	9	9	9
20	21	6	2020	9	9	9	9
21	22	6	2020	9	9	9	9
22	23	6	2020	9	9	9	9
23	24	6	2020	9	9	9	9
24	25	6	2020	9	9	9	9
25	26	6	2020	9	9	9	9
26	27	6	2020	9	9	9	9
27	28	6	2020	9	9	9	9
28	29	6	2020	9	9	9	9
29	30	6	2020	9	9	9	9
30	1	6	2020	9	9	9	9
1	2	7	2020	9	9	9	9
2	3	7	2020	9	9	9	9
3	4	7	2020	9	9	9	9
4	5	7	2020	9	9	9	9
5	6	7	2020	9	9	9	9
6	7	7	2020	9	9	9	9
7	8	7	2020	9	9	9	9
8	9	7	2020	9	9	9	9
9	10	7	2020	9	9	9	9
10	11	7	2020	9	9	9	9
11	12	7	2020	9	9	9	9
12	13	7	2020	9	9	9	9
13	14	7	2020	9	9	9	9
14	15	7	2020	9	9	9	9
15	16	7	2020	9	9	9	9
16	17	7	2020	9	9	9	9
17	18	7	2020	9	9	9	9
18	19	7	2020	9	9	9	9
19	20	7	2020	9	9	9	9
20	21	7	2020	9	9	9	9
21	22	7	2020	9	9	9	9
22	23	7	2020	9	9	9	9
23	24	7	2020	9	9	9	9
24	25	7	2020	9	9	9	9
25	26	7	2020	9	9	9	9
26	27	7	2020	9	9	9	9
27	28	7	2020	9	9	9	9
28	29	7	2020	9	9	9	9
29	30	7	2020	9	9	9	9
30	31	7	2020	9	9	9	9
31	1	7	2020	9	9	9	9
1	2	8	2020	9	9	9	9
2	3	8	2020	9	9	9	9
3	4	8	2020	9	9	9	9
4	5	8	2020	9	9	9	9
5	6	8	2020	9	9	9	9
6	7	8	2020	9	9	9	9
7	8	8	2020	9	9	9	9
8	9	8	2020	9	9	9	9
9	10	8	2020	9	9	9	9
10	11	8	2020	9	9	9	9
11	12	8	2020	9	9	9	9
12	13	8	2020	9	9	9	9
13	14	8	2020	9	9	9	9
14	15	8	2020	9	9	9	9
15	16	8	2020	9	9	9	9
16	17	8	2020	9	9	9	9
17	18	8	2020	9	9	9	9
18	19	8	2020	9	9	9	9
19	20	8	2020	9	9	9	9
20	21	8	2020	9	9	9	9
21	22	8	2020	9	9	9	9
22	23	8	2020	9	9	9	9
23	24	8	2020	9	9	9	9
24	25	8	2020	9	9	9	9
25	26	8	2020	9	9	9	9
26	27	8	2020	9	9	9	9
27	28	8	2020	9	9	9	9
28	29	8	2020	9	9	9	9
29	30	8	2020	9	9	9	9
30	31	8	2020	9	9	9	9
31	1	8	2020	9	9	9	9
1	2	9	2020	9	9	9	9
2	3	9	2020	9	9	9	9
3	4	9	2020	9	9	9	9
4	5	9	2020	9	9	9	9
5	6	9	2020	9	9	9	9
6	7	9	2020	9	9	9	9
7	8	9	2020	9	9	9	9
8	9	9	2020	9	9	9	9
9	10	9	2020	9	9	9	9
10	11	9	2020	9	9	9	9
11	12	9	2020	9	9	9	9
12	13	9	2020	9	9	9	9
13	14	9	2020	9	9	9	9
14	15	9	2020	9	9	9	9
15	16	9	2020	9	9	9	9
16	17	9	2020	9	9	9	9
17	18	9	2020	9	9	9	9
18	19	9	2020	9	9	9	9
19	20	9	2020	9	9	9	9
20	21	9	2020	9	9	9	9
21	22	9	2020	9	9	9	9
22	23	9	2020	9	9	9	9
23	24	9	2020	9	9	9	9
24	25	9	2020	9	9	9	9
25	26	9	2020	9	9	9	9
26	27	9	2020	9	9	9	9
27	28	9	2020	9	9	9	9
28	29	9	2020	9	9	9	9
29	30	9	2020	9	9	9	9
30	1	9	2020	9	9	9	9
1	2	10	2020	9	9	9	9
2	3	10	2020	9	9	9	9
3	4	10	2020	9	9	9	9
4	5	10	2020	9	9	9	9
5	6	10	2020	9	9	9	9
6	7	10	2020	9	9	9	9
7	8	10	2020	9	9	9	9
8	9	10	2020	2	1	3	1
9	10	10	2020	1	1	3	7
10	11	10	2020	0	0	0	0
11	12	10	2020	0	0	0	0
12	13	10	2020	0	0	3	3
13	14	10	2020	8	8	8	8
14	15	10	2020	0	0	0	0
15	16	10	2020	0	0	0	0
16	17	10	2020	0	0	0	0
17	18	10	2020	0	0	0	0
18	19	10	2020	0	0	0	0
19	20	10	2020	0	0	0	0
20	21	10	2020	0	0	0	0
21	22	10	2020	0	0	0	0
22	23	10	2020	2	2	2	2
23	24	10	2020	0	0	0	0
24	25	10	2020	0	0	0	0
25	26	10	2020	0	0	0	0
26	27	10	2020	0	0	0	0
27	28	10	2020	5	8	6	2
28	29	10	2020	0	0	0	0
29	30	10	2020	0	0	0	0
30	31	10	2020	0	0	0	0
31	1	10	2020	0	0	0	0
1	2	11	2020	0	0	0	0
2	3	11	2020	0	0	0	0
3	4	11	2020	0	0	1	3
4	5	11	2020	3	3	1	0
5	6	11	2020	0	0	0	0
6	7	11	2020	0	0	0	0
7	8	11	2020	8	8	8	8
8	9	11	2020	0	0	0	0
9	10	11	2020	0	0	0	0
10	11	11	2020	0	0	0	0
11	12	11	2020	0	0	0	0
12	13	11	2020	0	0	0	4
13	14	11	2020	0	0	0	0
14	15	11	2020	0	0	0	0
15	16	11	2020	0	0	0	0
16	17	11	2020	0	0	0	0
17	18	11	2020	4	0	0	0
18	19	11	2020	0	0	0	0
19	20	11	2020	0	0	0	0
20	21	11	2020	0	0	0	0
21	22	11	2020	0	0	0	0
22	23	11	2020	0	0	0	0
23	24	11	2020	0	0	0	0
24	25	11	2020	0	0	0	0
25	26	11	2020	0	0	0	0
26	27	11	2020	0	0	0	0
27	28	11	2020	0	0	0	0
28	29	11	2020	0	0	0	0
29	30	11	2020	0	0	0	0
30	1	11	2020	0	0	0	0
1	2	12	2020	0	0	0	0
2	3	12	2020	0	0	0	0
3	4	12	2020	0	0	0	0
4	5	12	2020	0	0	0	0
5	6	12	2020	0	0	0	0
6	7	12	2020	0	0	0	0
7	8	12	2020	0	0	0	0
8	9	12	2020	0	0	0	0
9	10	12	2020	0	0	0	0
10	11	12	2020	0	0	0	0
11	12	12	2020	0	0	0	0
12	13	12	2020	0	0	0	0
13	14	12	2020	0	0	0	0
14	15	12	2020	0	0	0	0
15	16	12	2020	0	0	0	0
16	17	12	2020	0	0	0	0
17	18	12	2020	0	0	0	0
18	19	12	2020	0	0	0	0
19	20	12	2020	0	0	0	0
20	21	12	2020	0	0	0	0
21	22	12	2020	0	0	0	0
22	23	12	2020	0	0	0	0
23	24	12	2020	0	0	0	0
24	25	12	2020	0	0	0	0
25	26	12	2020	0	0	0	0
26	27	12	2020	0	0	0	0
